vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
>=20%,vtype,2619,0.6494845360824743,52553,0.5070309972789374,0.14245353880353684,0.12348558100848275,0.16099538016983686,7.335345277596391e-46,2.2006035832789174e-45,True,True,1.0,union_hc,native
<5%,vtype,1183,0.9983093829247676,4312,0.9921150278293135,0.006194355095454074,0.0012114548348811883,0.00954027284159712,0.014293961568723031,0.014293961568723031,True,True,1.0,union_hc,shared4
5-10%,vtype,902,0.9146341463414634,5219,0.6731174554512359,0.24151669089022754,0.2178478531030085,0.2624478394890093,6.296780560419792e-49,1.2593561120839583e-48,True,True,1.0,union_hc,shared4
10-20%,vtype,856,0.7102803738317757,7001,0.24939294386516211,0.4608874299666136,0.42796928638011433,0.4919363955525275,1.8839039637247408e-169,5.651711891174222e-169,True,True,1.0,union_hc,shared4
>=20%,vtype,2619,0.6494845360824743,29024,0.10735942668136715,0.5421251094011071,0.5232949106206978,0.5605056371996497,0.0,0.0,True,True,1.0,union_hc,shared4
<5%,vtype,196,0.6020408163265306,2841,0.9989440337909187,-0.39690321746438806,-0.4667602152727941,-0.3309409758509169,5.20408467796408e-96,1.561225403389224e-95,False,False,0.75,truth,native
5-10%,vtype,347,0.41210374639769454,4901,0.9208324831667006,-0.5087287367690061,-0.5597948952389256,-0.45566245083216744,3.7418686977976178e-183,1.4967474791190471e-182,False,False,0.75,truth,native
10-20%,vtype,478,0.2510460251046025,8054,0.3087906630245841,-0.05774463791998158,-0.09590999017556895,-0.01578398413071476,0.009008716709055712,0.009008716709055712,False,False,0.75,truth,native
>=20%,vtype,604,0.27483443708609273,23650,0.07437632135306554,0.2004581157330272,0.1661920656379131,0.2375446463516921,8.122507984002552e-72,1.6245015968005103e-71,True,True,0.75,truth,native
<5%,vtype,196,0.6020408163265306,2841,0.7367124252023936,-0.13467160887586294,-0.20630462949556272,-0.06670610742451953,5.942784271631716e-05,0.00011885568543263432,False,False,0.75,truth,shared4
