vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,denom,callerset
snv,5-10%,lc,18954,1.0,22648,1.0,0.0,-0.00020263165661749127,0.00016958704340563902,1.0,1.0,False,False,union_hc,native
snv,10-20%,lc,9823,0.9854423292273237,10508,0.7125047582794062,0.2729375709479175,0.2639872948699921,0.28193711688805484,0.0,0.0,True,True,union_hc,native
snv,>=20%,lc,10169,0.8541646179565345,29008,0.14378792057363485,0.7103766973828997,0.7022775376897579,0.7181974967186466,0.0,0.0,True,True,union_hc,native
indel,<5%,lc,7575,0.9997359735973598,2381,0.99580008399832,0.003935889599039788,0.0018957094677188886,0.00745534544809952,2.444210864728413e-05,4.888421729456826e-05,True,True,union_hc,shared4
indel,5-10%,lc,4599,0.9984779299847792,934,0.911134903640257,0.08734302634452229,0.07065958028291085,0.10733143649806234,2.688012270660653e-81,1.0752049082642611e-80,True,True,union_hc,shared4
indel,10-20%,lc,3675,0.9915646258503401,707,0.6492220650636492,0.3423425607866909,0.3078790008554314,0.37832544146657054,3.1537875038657302e-254,1.8922725023194383e-253,True,True,union_hc,shared4
indel,>=20%,lc,4358,0.9541073887104177,1447,0.6385625431928127,0.315544845517605,0.2903042237054857,0.34130170691821,4.2071980169093936e-217,2.103599008454697e-216,True,True,union_hc,shared4
snv,<5%,lc,2398,1.0,2914,1.0,0.0,-0.001599380677932083,0.001316541311413899,1.0,1.0,False,False,union_hc,shared4
snv,5-10%,lc,18679,0.9987151346431822,22480,0.9832295373665481,0.015485597276634122,0.013769294460522559,0.0172982826343407,9.628198868964333e-57,2.8884596606893e-56,True,True,union_hc,shared4
snv,10-20%,lc,8058,0.9736907421196327,10143,0.5851326037661442,0.3885581383534885,0.37830261138424276,0.3987193785061287,0.0,0.0,True,True,union_hc,shared4
snv,>=20%,lc,8310,0.8164861612515042,28314,0.11813943632125451,0.6983467249302497,0.6890603226072548,0.7073239426130067,0.0,0.0,True,True,union_hc,shared4
