vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
indel,5-10%,lc,32,0.4375,255,0.23137254901960785,0.20612745098039215,0.04068820667175982,0.38192221530683934,0.020972768025176274,0.0838910721007051,True,False,NS_380X,strict,native,truth
indel,10-20%,lc,80,0.425,342,0.1695906432748538,0.2554093567251462,0.14416381216586258,0.37050801822827634,1.362462076914693e-06,8.174772461488158e-06,True,True,NS_380X,strict,native,truth
indel,>=20%,lc,258,0.45348837209302323,556,0.2517985611510791,0.2016898109419441,0.13115082290414873,0.27165506848507615,1.3523015984485283e-08,9.466111189139698e-08,True,True,NS_380X,strict,native,truth
snv,<5%,lc,50,1.0,1242,1.0,0.0,-0.07134759913335864,0.00308342509674564,1.0,1.0,False,False,NS_380X,strict,native,truth
snv,5-10%,lc,215,0.9906976744186047,3638,0.9997251236943375,-0.009027449275732846,-0.03300312888979999,-0.002159432197124397,0.00895718440357329,0.04478592201786645,False,False,NS_380X,strict,native,truth
snv,10-20%,lc,361,0.7229916897506925,5910,0.6810490693739425,0.041942620376750006,-0.007796624024053983,0.08719465646648877,0.10849420277455168,0.32548260832365505,True,False,NS_380X,strict,native,truth
snv,>=20%,lc,1762,0.41486946651532347,26268,0.3291076595096696,0.08576180700565389,0.062262498938687474,0.10960868152312477,1.8360154086484393e-13,1.4688123269187515e-12,True,True,NS_380X,strict,native,truth
indel,<5%,lc,9,0.7777777777777778,93,0.8817204301075269,-0.10394265232974909,-0.43309634751222365,0.07459755602277648,0.3216271042851372,0.9648813128554116,False,False,IL_T_1,strict,native,truth_obsvaf
indel,5-10%,lc,25,0.52,194,0.26288659793814434,0.2571134020618557,0.06063992135908888,0.4455968315778792,0.015229654674435418,0.06091861869774167,True,False,IL_T_1,strict,native,truth_obsvaf
indel,10-20%,lc,85,0.47058823529411764,336,0.047619047619047616,0.42296918767507,0.3166018230033887,0.5295865296610609,6.783189807558131e-24,4.748232865290692e-23,True,True,IL_T_1,strict,native,truth_obsvaf
indel,>=20%,lc,253,0.15810276679841898,567,0.05291005291005291,0.10519271388836607,0.05990372673097177,0.15759276016215398,1.2726947626878746e-06,7.636168576127247e-06,True,True,IL_T_1,strict,native,truth_obsvaf
snv,<5%,lc,31,1.0,742,1.0,0.0,-0.11025539546043595,0.0051505032004631746,1.0,1.0,False,False,IL_T_1,strict,native,truth_obsvaf
snv,5-10%,lc,178,1.0,3092,1.0,0.0,-0.021125318976252028,0.0012408448145007078,1.0,1.0,False,False,IL_T_1,strict,native,truth_obsvaf
snv,10-20%,lc,359,0.5459610027855153,5829,0.4311202607651398,0.11484074202037547,0.06157315018246844,0.16714192811326503,2.6456793201117255e-05,0.00013228396600558628,True,True,IL_T_1,strict,native,truth_obsvaf
