source,hypothesis,context,bins_tested,bins_sig_support,bins_sig_reversed,verdict,per_bin
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | indel | NV_T_1,3,3,0,supported (all bins),"5-10%: +0.43 [+0.25,+0.59]; 10-20%: +0.41 [+0.30,+0.52]; >=20%: +0.20 [+0.14,+0.26]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | snv | FD_T_1,4,2,0,partial,"<5%: +0.00 [-0.07,+0.01]; 5-10%: +0.01 [-0.04,+0.04]; 10-20%: +0.08 [+0.03,+0.14]; >=20%: +0.08 [+0.07,+0.10]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | snv | IL_T_1,4,2,0,partial,"<5%: +0.01 [-0.06,+0.01]; 5-10%: +0.03 [-0.02,+0.05]; 10-20%: +0.10 [+0.05,+0.15]; >=20%: +0.10 [+0.08,+0.11]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | snv | NS_380X,4,1,0,partial,"<5%: +0.00 [-0.07,+0.00]; 5-10%: -0.01 [-0.03,-0.00]; 10-20%: +0.05 [-0.00,+0.10]; >=20%: +0.08 [+0.06,+0.10]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | snv | NS_T_1,4,1,0,partial,"<5%: +0.00 [-0.07,+0.01]; 5-10%: +0.02 [-0.02,+0.03]; 10-20%: +0.06 [+0.00,+0.11]; >=20%: +0.06 [+0.05,+0.08]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | snv | NV_T_1,4,2,0,partial,"<5%: +0.01 [-0.06,+0.01]; 5-10%: +0.02 [-0.01,+0.05]; 10-20%: +0.17 [+0.11,+0.22]; >=20%: +0.10 [+0.08,+0.12]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | indel | FD_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.01]; 5-10%: +0.12 [+0.10,+0.14]; 10-20%: +0.39 [+0.36,+0.42]; >=20%: +0.38 [+0.37,+0.40]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | indel | IL_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.15 [+0.13,+0.18]; 10-20%: +0.46 [+0.42,+0.49]; >=20%: +0.40 [+0.39,+0.41]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | indel | NS_380X,4,4,0,supported (all bins),"<5%: +0.04 [+0.04,+0.05]; 5-10%: +0.25 [+0.22,+0.28]; 10-20%: +0.46 [+0.42,+0.49]; >=20%: +0.17 [+0.16,+0.18]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | indel | NS_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.12 [+0.10,+0.14]; 10-20%: +0.41 [+0.38,+0.45]; >=20%: +0.33 [+0.32,+0.35]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | indel | NV_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.01,+0.02]; 5-10%: +0.14 [+0.13,+0.16]; 10-20%: +0.48 [+0.44,+0.51]; >=20%: +0.31 [+0.30,+0.33]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | snv | FD_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.16 [+0.16,+0.17]; >=20%: +0.46 [+0.45,+0.46]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | snv | IL_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.20 [+0.20,+0.21]; >=20%: +0.44 [+0.44,+0.45]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | snv | NS_380X,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.14 [+0.13,+0.14]; >=20%: +0.25 [+0.25,+0.26]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | snv | NS_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.15 [+0.14,+0.15]; >=20%: +0.42 [+0.41,+0.42]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | union | snv | NV_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [+0.00,+0.00]; 10-20%: +0.22 [+0.22,+0.23]; >=20%: +0.42 [+0.42,+0.43]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | indel | FD_T_1,3,1,0,partial,"5-10%: +0.03 [-0.14,+0.21]; 10-20%: +0.30 [+0.19,+0.41]; >=20%: +0.05 [+0.01,+0.10]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | indel | IL_T_1,3,2,0,partial,"5-10%: +0.11 [-0.06,+0.29]; 10-20%: +0.33 [+0.22,+0.44]; >=20%: +0.15 [+0.10,+0.20]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | indel | NS_380X,3,2,0,partial,"5-10%: +0.21 [+0.04,+0.38]; 10-20%: +0.26 [+0.14,+0.37]; >=20%: +0.20 [+0.13,+0.27]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | indel | NS_T_1,3,1,0,partial,"5-10%: +0.15 [-0.03,+0.32]; 10-20%: +0.28 [+0.17,+0.39]; >=20%: +0.03 [-0.01,+0.09]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | indel | NV_T_1,3,3,0,supported (all bins),"5-10%: +0.43 [+0.25,+0.59]; 10-20%: +0.40 [+0.29,+0.52]; >=20%: +0.22 [+0.17,+0.28]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | snv | FD_T_1,4,2,0,partial,"<5%: +0.00 [-0.07,+0.01]; 5-10%: +0.00 [-0.03,+0.02]; 10-20%: +0.10 [+0.04,+0.15]; >=20%: +0.09 [+0.08,+0.11]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | snv | IL_T_1,4,2,0,partial,"<5%: +0.00 [-0.07,+0.01]; 5-10%: +0.01 [-0.02,+0.03]; 10-20%: +0.09 [+0.03,+0.14]; >=20%: +0.10 [+0.09,+0.12]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | snv | NS_380X,4,1,1,mixed (reversed in some bins),"<5%: +0.00 [-0.07,+0.00]; 5-10%: -0.01 [-0.03,-0.00]; 10-20%: +0.04 [-0.01,+0.09]; >=20%: +0.09 [+0.06,+0.11]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | snv | NS_T_1,4,1,0,partial,"<5%: +0.00 [-0.07,+0.00]; 5-10%: +0.01 [-0.01,+0.02]; 10-20%: +0.03 [-0.02,+0.08]; >=20%: +0.07 [+0.06,+0.09]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth | snv | NV_T_1,4,2,0,partial,"<5%: +0.00 [-0.07,+0.01]; 5-10%: +0.01 [-0.02,+0.02]; 10-20%: +0.11 [+0.06,+0.16]; >=20%: +0.10 [+0.08,+0.12]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | indel | FD_T_1,2,2,0,supported (all bins),"10-20%: +0.23 [+0.13,+0.34]; >=20%: +0.08 [+0.04,+0.13]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | indel | IL_T_1,3,2,0,partial,"5-10%: +0.26 [+0.06,+0.45]; 10-20%: +0.42 [+0.32,+0.53]; >=20%: +0.11 [+0.06,+0.16]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | indel | NS_380X,3,2,0,partial,"5-10%: +0.20 [+0.03,+0.39]; 10-20%: +0.24 [+0.14,+0.36]; >=20%: +0.21 [+0.14,+0.28]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | indel | NS_T_1,3,2,0,partial,"5-10%: +0.27 [+0.09,+0.43]; 10-20%: +0.22 [+0.12,+0.34]; >=20%: +0.03 [-0.01,+0.09]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | indel | NV_T_1,3,3,0,supported (all bins),"5-10%: +0.59 [+0.42,+0.72]; 10-20%: +0.33 [+0.23,+0.44]; >=20%: +0.18 [+0.13,+0.24]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | snv | FD_T_1,3,1,0,partial,"5-10%: +0.00 [-0.02,+0.00]; 10-20%: +0.07 [+0.02,+0.12]; >=20%: +0.09 [+0.08,+0.11]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | snv | IL_T_1,4,2,0,partial,"<5%: +0.00 [-0.11,+0.01]; 5-10%: +0.00 [-0.02,+0.00]; 10-20%: +0.11 [+0.06,+0.17]; >=20%: +0.09 [+0.08,+0.11]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | snv | NS_380X,4,1,0,partial,"<5%: +0.00 [-0.08,+0.00]; 5-10%: -0.00 [-0.02,-0.00]; 10-20%: +0.03 [-0.02,+0.08]; >=20%: +0.09 [+0.06,+0.11]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | snv | NS_T_1,4,1,0,partial,"<5%: +0.00 [-0.13,+0.01]; 5-10%: +0.00 [-0.02,+0.00]; 10-20%: +0.06 [+0.00,+0.11]; >=20%: +0.07 [+0.06,+0.09]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | truth_obsvaf | snv | NV_T_1,4,2,0,partial,"<5%: +0.00 [-0.08,+0.00]; 5-10%: +0.00 [-0.02,+0.00]; 10-20%: +0.12 [+0.07,+0.17]; >=20%: +0.09 [+0.08,+0.11]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | indel | FD_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.01]; 5-10%: +0.12 [+0.10,+0.14]; 10-20%: +0.39 [+0.36,+0.43]; >=20%: +0.36 [+0.34,+0.37]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | indel | IL_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.17 [+0.14,+0.19]; 10-20%: +0.46 [+0.43,+0.50]; >=20%: +0.36 [+0.35,+0.38]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | indel | NS_380X,4,4,0,supported (all bins),"<5%: +0.05 [+0.04,+0.06]; 5-10%: +0.29 [+0.26,+0.32]; 10-20%: +0.48 [+0.45,+0.52]; >=20%: +0.17 [+0.15,+0.18]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | indel | NS_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.13 [+0.11,+0.15]; 10-20%: +0.42 [+0.39,+0.46]; >=20%: +0.31 [+0.30,+0.32]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | indel | NV_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.01,+0.02]; 5-10%: +0.16 [+0.14,+0.18]; 10-20%: +0.50 [+0.46,+0.53]; >=20%: +0.30 [+0.29,+0.31]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | snv | FD_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.16 [+0.15,+0.17]; >=20%: +0.44 [+0.44,+0.45]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | snv | IL_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.20 [+0.19,+0.21]; >=20%: +0.45 [+0.45,+0.46]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | snv | NS_380X,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: -0.00 [-0.00,+0.00]; 10-20%: +0.14 [+0.13,+0.14]; >=20%: +0.25 [+0.24,+0.25]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | snv | NS_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.12 [+0.12,+0.13]; >=20%: +0.44 [+0.43,+0.44]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union | snv | NV_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.21 [+0.20,+0.22]; >=20%: +0.39 [+0.39,+0.40]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | indel | FD_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.02]; 5-10%: +0.18 [+0.15,+0.22]; 10-20%: +0.53 [+0.49,+0.58]; >=20%: +0.56 [+0.53,+0.59]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | indel | IL_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.01,+0.01]; 5-10%: +0.24 [+0.20,+0.27]; 10-20%: +0.60 [+0.55,+0.64]; >=20%: +0.38 [+0.35,+0.41]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | indel | NS_380X,4,4,0,supported (all bins),"<5%: +0.08 [+0.07,+0.10]; 5-10%: +0.41 [+0.36,+0.45]; 10-20%: +0.64 [+0.59,+0.68]; >=20%: +0.33 [+0.30,+0.37]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | indel | NS_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.02]; 5-10%: +0.18 [+0.16,+0.21]; 10-20%: +0.56 [+0.51,+0.60]; >=20%: +0.42 [+0.38,+0.45]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | indel | NV_T_1,4,4,0,supported (all bins),"<5%: +0.02 [+0.01,+0.03]; 5-10%: +0.22 [+0.19,+0.25]; 10-20%: +0.65 [+0.60,+0.69]; >=20%: +0.43 [+0.39,+0.46]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | snv | FD_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.23 [+0.22,+0.23]; >=20%: +0.73 [+0.72,+0.73]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | snv | IL_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.29 [+0.28,+0.30]; >=20%: +0.72 [+0.71,+0.73]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | snv | NS_380X,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: -0.00 [-0.00,+0.00]; 10-20%: +0.24 [+0.23,+0.25]; >=20%: +0.52 [+0.51,+0.53]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | snv | NS_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.16 [+0.15,+0.17]; >=20%: +0.66 [+0.65,+0.67]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | native | union_hc | snv | NV_T_1,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.34 [+0.33,+0.35]; >=20%: +0.74 [+0.73,+0.74]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | indel | FD_T_1,3,1,0,partial,"5-10%: +0.03 [-0.14,+0.21]; 10-20%: +0.30 [+0.19,+0.41]; >=20%: +0.05 [+0.01,+0.10]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | indel | IL_T_1,3,2,0,partial,"5-10%: +0.11 [-0.06,+0.29]; 10-20%: +0.33 [+0.22,+0.44]; >=20%: +0.15 [+0.10,+0.20]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | indel | NS_380X,3,2,0,partial,"5-10%: +0.21 [+0.04,+0.38]; 10-20%: +0.26 [+0.14,+0.37]; >=20%: +0.20 [+0.13,+0.27]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | indel | NS_T_1,3,1,0,partial,"5-10%: +0.15 [-0.03,+0.32]; 10-20%: +0.28 [+0.17,+0.39]; >=20%: +0.03 [-0.01,+0.09]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | indel | NV_T_1,3,3,0,supported (all bins),"5-10%: +0.43 [+0.25,+0.59]; 10-20%: +0.40 [+0.29,+0.52]; >=20%: +0.22 [+0.17,+0.28]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | snv | FD_T_1,4,2,0,partial,"<5%: -0.02 [-0.15,+0.07]; 5-10%: +0.06 [-0.01,+0.12]; 10-20%: +0.09 [+0.04,+0.14]; >=20%: +0.07 [+0.06,+0.08]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | snv | IL_T_1,4,2,0,partial,"<5%: -0.01 [-0.14,+0.09]; 5-10%: +0.06 [-0.01,+0.13]; 10-20%: +0.14 [+0.10,+0.19]; >=20%: +0.08 [+0.07,+0.10]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | snv | NS_380X,4,2,0,partial,"<5%: -0.03 [-0.16,+0.07]; 5-10%: +0.03 [-0.02,+0.09]; 10-20%: +0.08 [+0.05,+0.12]; >=20%: +0.06 [+0.04,+0.08]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | snv | NS_T_1,4,2,0,partial,"<5%: -0.10 [-0.24,+0.01]; 5-10%: +0.00 [-0.06,+0.07]; 10-20%: +0.08 [+0.04,+0.13]; >=20%: +0.05 [+0.04,+0.07]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | truth | snv | NV_T_1,4,3,0,partial,"<5%: +0.07 [-0.07,+0.17]; 5-10%: +0.09 [+0.02,+0.16]; 10-20%: +0.15 [+0.11,+0.19]; >=20%: +0.08 [+0.06,+0.09]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | indel | FD_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.01]; 5-10%: +0.12 [+0.10,+0.14]; 10-20%: +0.39 [+0.36,+0.43]; >=20%: +0.36 [+0.34,+0.37]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | indel | IL_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.17 [+0.14,+0.19]; 10-20%: +0.46 [+0.43,+0.50]; >=20%: +0.36 [+0.35,+0.38]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | indel | NS_380X,4,4,0,supported (all bins),"<5%: +0.05 [+0.04,+0.06]; 5-10%: +0.29 [+0.26,+0.32]; 10-20%: +0.48 [+0.45,+0.52]; >=20%: +0.17 [+0.15,+0.18]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | indel | NS_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.13 [+0.11,+0.15]; 10-20%: +0.42 [+0.39,+0.46]; >=20%: +0.31 [+0.30,+0.32]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | indel | NV_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.01,+0.02]; 5-10%: +0.16 [+0.14,+0.18]; 10-20%: +0.50 [+0.46,+0.53]; >=20%: +0.30 [+0.29,+0.31]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | snv | FD_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.11 [+0.11,+0.12]; 10-20%: +0.36 [+0.35,+0.37]; >=20%: +0.49 [+0.48,+0.50]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | snv | IL_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.09 [+0.08,+0.09]; 10-20%: +0.40 [+0.39,+0.40]; >=20%: +0.55 [+0.54,+0.55]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | snv | NS_380X,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.23 [+0.22,+0.24]; 10-20%: +0.58 [+0.57,+0.59]; >=20%: +0.36 [+0.35,+0.36]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | snv | NS_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.09 [+0.09,+0.09]; 10-20%: +0.31 [+0.30,+0.32]; >=20%: +0.47 [+0.47,+0.48]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union | snv | NV_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.13 [+0.12,+0.13]; 10-20%: +0.48 [+0.47,+0.49]; >=20%: +0.56 [+0.55,+0.56]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | indel | FD_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.02]; 5-10%: +0.18 [+0.15,+0.22]; 10-20%: +0.53 [+0.49,+0.58]; >=20%: +0.56 [+0.53,+0.59]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | indel | IL_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.01,+0.01]; 5-10%: +0.24 [+0.20,+0.27]; 10-20%: +0.60 [+0.55,+0.64]; >=20%: +0.38 [+0.35,+0.41]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | indel | NS_380X,4,4,0,supported (all bins),"<5%: +0.08 [+0.07,+0.10]; 5-10%: +0.41 [+0.36,+0.45]; 10-20%: +0.64 [+0.59,+0.68]; >=20%: +0.33 [+0.30,+0.37]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | indel | NS_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.02]; 5-10%: +0.18 [+0.16,+0.21]; 10-20%: +0.56 [+0.51,+0.60]; >=20%: +0.42 [+0.38,+0.45]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | indel | NV_T_1,4,4,0,supported (all bins),"<5%: +0.02 [+0.01,+0.03]; 5-10%: +0.22 [+0.19,+0.25]; 10-20%: +0.65 [+0.60,+0.69]; >=20%: +0.43 [+0.39,+0.46]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | snv | FD_T_1,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.17 [+0.16,+0.17]; 10-20%: +0.47 [+0.46,+0.48]; >=20%: +0.71 [+0.70,+0.72]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | snv | IL_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.10 [+0.09,+0.10]; 10-20%: +0.49 [+0.48,+0.50]; >=20%: +0.71 [+0.70,+0.72]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | snv | NS_380X,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.30 [+0.29,+0.31]; 10-20%: +0.66 [+0.65,+0.68]; >=20%: +0.52 [+0.51,+0.53]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | snv | NS_T_1,4,3,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.11 [+0.11,+0.12]; 10-20%: +0.38 [+0.37,+0.39]; >=20%: +0.65 [+0.64,+0.66]"
D1 SEQC2 ensemble,H4 LC>nonLC,strict | shared3 | union_hc | snv | NV_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.01]; 5-10%: +0.16 [+0.15,+0.16]; 10-20%: +0.61 [+0.59,+0.62]; >=20%: +0.72 [+0.71,+0.73]"
D1b raw VCFs,H3 indel>SNV,native | truth,4,1,3,mixed (reversed in some bins),"<5%: -0.09 [-0.16,-0.05]; 5-10%: -0.35 [-0.41,-0.29]; 10-20%: -0.09 [-0.14,-0.04]; >=20%: +0.08 [+0.05,+0.10]"
D1b raw VCFs,H3 indel>SNV,native | union,4,2,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.01 [-0.02,-0.01]; 10-20%: +0.04 [+0.03,+0.05]; >=20%: +0.31 [+0.30,+0.31]"
D1b raw VCFs,H3 indel>SNV,native | union_hc,4,2,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.02 [-0.02,-0.01]; 10-20%: +0.09 [+0.08,+0.10]; >=20%: +0.55 [+0.54,+0.56]"
D1b raw VCFs,H3 indel>SNV,shared4 | truth,4,2,2,mixed (reversed in some bins),"<5%: -0.07 [-0.14,-0.03]; 5-10%: -0.20 [-0.26,-0.14]; 10-20%: +0.07 [+0.02,+0.11]; >=20%: +0.08 [+0.06,+0.11]"
D1b raw VCFs,H3 indel>SNV,shared4 | union,4,2,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.01 [-0.01,-0.00]; 10-20%: +0.11 [+0.10,+0.11]; >=20%: +0.43 [+0.43,+0.44]"
D1b raw VCFs,H3 indel>SNV,shared4 | union_hc,4,2,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.01 [-0.01,-0.00]; 10-20%: +0.18 [+0.17,+0.19]; >=20%: +0.60 [+0.59,+0.61]"
D1b raw VCFs,H4 LC>nonLC,native | truth | indel,3,2,0,partial,"5-10%: +0.01 [-0.17,+0.17]; 10-20%: +0.32 [+0.20,+0.43]; >=20%: +0.18 [+0.13,+0.24]"
D1b raw VCFs,H4 LC>nonLC,native | truth | snv,4,2,0,partial,"<5%: +0.00 [-0.07,+0.01]; 5-10%: +0.01 [-0.02,+0.03]; 10-20%: +0.08 [+0.03,+0.13]; >=20%: +0.11 [+0.09,+0.13]"
D1b raw VCFs,H4 LC>nonLC,native | union | indel,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.01]; 5-10%: +0.06 [+0.05,+0.08]; 10-20%: +0.26 [+0.23,+0.28]; >=20%: +0.32 [+0.31,+0.34]"
D1b raw VCFs,H4 LC>nonLC,native | union | snv,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.19 [+0.18,+0.20]; >=20%: +0.45 [+0.45,+0.46]"
D1b raw VCFs,H4 LC>nonLC,native | union_hc | indel,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.01]; 5-10%: +0.09 [+0.07,+0.11]; 10-20%: +0.34 [+0.31,+0.38]; >=20%: +0.32 [+0.29,+0.34]"
D1b raw VCFs,H4 LC>nonLC,native | union_hc | snv,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.27 [+0.26,+0.28]; >=20%: +0.71 [+0.70,+0.72]"
D1b raw VCFs,H4 LC>nonLC,shared4 | truth | indel,3,2,0,partial,"5-10%: +0.01 [-0.17,+0.17]; 10-20%: +0.32 [+0.20,+0.43]; >=20%: +0.18 [+0.13,+0.24]"
