source,hypothesis,context,bins_tested,bins_sig_support,bins_sig_reversed,verdict,per_bin
D2 purity series,H4 LC>nonLC,shared4 | union | snv | 0.05,4,4,0,supported (all bins),"<5%: +0.11 [+0.10,+0.12]; 5-10%: +0.26 [+0.25,+0.26]; 10-20%: +0.39 [+0.38,+0.40]; >=20%: +0.33 [+0.30,+0.36]"
D2 purity series,H4 LC>nonLC,shared4 | union | snv | 0.1,4,4,0,supported (all bins),"<5%: +0.15 [+0.14,+0.16]; 5-10%: +0.36 [+0.35,+0.37]; 10-20%: +0.41 [+0.40,+0.42]; >=20%: +0.46 [+0.44,+0.48]"
D2 purity series,H4 LC>nonLC,shared4 | union | snv | 0.2,4,4,0,supported (all bins),"<5%: +0.19 [+0.17,+0.21]; 5-10%: +0.49 [+0.47,+0.51]; 10-20%: +0.47 [+0.46,+0.48]; >=20%: +0.38 [+0.37,+0.40]"
D2 purity series,H4 LC>nonLC,shared4 | union | snv | 0.5,4,4,0,supported (all bins),"<5%: +0.09 [+0.07,+0.10]; 5-10%: +0.51 [+0.49,+0.53]; 10-20%: +0.58 [+0.56,+0.60]; >=20%: +0.36 [+0.35,+0.37]"
D2 purity series,H4 LC>nonLC,shared4 | union | snv | 0.75,4,4,0,supported (all bins),"<5%: +0.03 [+0.02,+0.03]; 5-10%: +0.45 [+0.43,+0.47]; 10-20%: +0.59 [+0.57,+0.61]; >=20%: +0.36 [+0.35,+0.37]"
D2 purity series,H4 LC>nonLC,shared4 | union | snv | 1.0,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.27 [+0.25,+0.28]; 10-20%: +0.57 [+0.54,+0.59]; >=20%: +0.37 [+0.36,+0.38]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | indel | 0.05,3,1,0,partial,"<5%: +0.00 [-0.01,+0.01]; 5-10%: +0.01 [-0.01,+0.04]; 10-20%: +0.11 [+0.04,+0.26]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | indel | 0.1,3,2,0,partial,"<5%: +0.00 [-0.01,+0.01]; 5-10%: +0.08 [+0.05,+0.11]; 10-20%: +0.25 [+0.17,+0.35]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | indel | 0.2,4,3,0,partial,"<5%: +0.00 [-0.02,+0.01]; 5-10%: +0.21 [+0.17,+0.24]; 10-20%: +0.43 [+0.36,+0.49]; >=20%: +0.64 [+0.48,+0.77]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | indel | 0.5,4,3,0,partial,"<5%: +0.00 [-0.01,+0.01]; 5-10%: +0.22 [+0.18,+0.27]; 10-20%: +0.52 [+0.47,+0.57]; >=20%: +0.58 [+0.53,+0.62]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | indel | 0.75,4,3,0,partial,"<5%: +0.00 [-0.01,+0.01]; 5-10%: +0.18 [+0.14,+0.23]; 10-20%: +0.47 [+0.42,+0.52]; >=20%: +0.57 [+0.53,+0.61]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | indel | 1.0,4,3,0,partial,"<5%: +0.00 [-0.00,+0.01]; 5-10%: +0.18 [+0.14,+0.22]; 10-20%: +0.46 [+0.41,+0.51]; >=20%: +0.55 [+0.52,+0.58]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | snv | 0.05,4,3,0,partial,"<5%: +0.11 [+0.11,+0.12]; 5-10%: +0.26 [+0.25,+0.27]; 10-20%: +0.29 [+0.25,+0.32]; >=20%: +0.01 [-0.03,+0.10]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | snv | 0.1,4,4,0,supported (all bins),"<5%: +0.15 [+0.14,+0.16]; 5-10%: +0.47 [+0.46,+0.49]; 10-20%: +0.63 [+0.61,+0.66]; >=20%: +0.55 [+0.44,+0.63]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | snv | 0.2,4,4,0,supported (all bins),"<5%: +0.19 [+0.16,+0.21]; 5-10%: +0.55 [+0.52,+0.57]; 10-20%: +0.54 [+0.52,+0.57]; >=20%: +0.48 [+0.42,+0.54]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | snv | 0.5,4,4,0,supported (all bins),"<5%: +0.10 [+0.08,+0.12]; 5-10%: +0.56 [+0.54,+0.58]; 10-20%: +0.52 [+0.49,+0.54]; >=20%: +0.25 [+0.22,+0.28]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | snv | 0.75,4,4,0,supported (all bins),"<5%: +0.04 [+0.02,+0.04]; 5-10%: +0.52 [+0.50,+0.54]; 10-20%: +0.54 [+0.51,+0.57]; >=20%: +0.28 [+0.26,+0.30]"
D2 purity series,H4 LC>nonLC,shared4 | union_hc | snv | 1.0,4,4,0,supported (all bins),"<5%: +0.01 [+0.00,+0.01]; 5-10%: +0.33 [+0.31,+0.35]; 10-20%: +0.55 [+0.51,+0.58]; >=20%: +0.36 [+0.34,+0.38]"
D3 TCGA MC3,H3 indel>SNV,starred_counted,3,1,2,mixed (reversed in some bins),"5-10%: -0.21 [-0.22,-0.20]; 10-20%: -0.36 [-0.36,-0.35]; >=20%: +0.20 [+0.20,+0.21]"
D3 TCGA MC3,H3 indel>SNV,strict,3,2,0,partial,"5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.28 [+0.28,+0.29]; >=20%: +0.84 [+0.84,+0.84]"
D3 TCGA MC3,H4 LC>nonLC,starred_counted | indel,3,2,0,partial,"5-10%: -0.02 [-0.04,+0.01]; 10-20%: +0.21 [+0.19,+0.22]; >=20%: +0.51 [+0.50,+0.51]"
D3 TCGA MC3,H4 LC>nonLC,starred_counted | snv,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.04 [+0.03,+0.05]; >=20%: +0.09 [+0.09,+0.10]"
D3 TCGA MC3,H4 LC>nonLC,strict | indel,3,0,0,not supported,"5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.00 [-0.00,+0.00]; >=20%: +0.00 [-0.00,+0.00]"
D3 TCGA MC3,H4 LC>nonLC,strict | snv,4,2,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.00 [-0.00,+0.00]; 10-20%: +0.04 [+0.03,+0.05]; >=20%: +0.09 [+0.09,+0.10]"
